index,titleId,title,types,averageRating,numVotes,isAdult,startYear,runtimeMinutes,genre1,genre2,genre 3
21,tt0093389,The Last Emperor,imdbDisplay,7.7,93746,0,1987,163,16,2,17
22,tt0093603,Nayagan,98,8.6,16065,0,1987,145,7,2,99
24,tt0093748,"Vimanankal, Rayilkal Marrum Attomopailkal",imdbDisplay,7.6,123996,0,1987,93,6,2,99
25,tt0093773,Predator,imdbDisplay,7.8,369680,0,1987,107,0,1,4
26,tt0093870,RoboCop,imdbDisplay,7.5,231901,0,1987,102,0,7,4
27,tt0094020,Square Dance,imdbDisplay,6,863,0,1987,112,2,5,99
28,tt0094625,Akira,imdbDisplay,8,163759,0,1988,124,0,12,4
29,tt0094721,Vantu Caru,imdbDisplay,7.5,262671,0,1988,92,6,3,99
30,tt0095765,Cinema Paradiso,imdbDisplay,8.5,228876,0,1988,155,2,99,99
31,tt0095953,Rain Man,imdbDisplay,8,470862,0,1988,133,2,99,99
32,tt0096895,Batman,imdbDisplay,7.5,337017,0,1989,126,0,1,99
33,tt0097416,Kathalan,98,7.2,1786,0,1994,168,0,2,5
34,tt0097428,Ghostbusters II,imdbDisplay,6.6,182463,0,1989,108,0,6,3
35,tt0097437,Idhayathai Thirudathe,98,8.3,2259,0,1989,150,2,5,99
36,tt0097493,Heathers,imdbDisplay,7.2,88080,0,1989,103,6,7,99
37,tt0099487,Edward Scissorhands,imdbDisplay,7.9,445500,0,1990,105,2,3,5
38,tt0099785,Home Alone,imdbDisplay,7.6,480838,0,1990,103,6,10,99
39,tt0100802,Total Recall,imdbDisplay,7.5,301025,0,1990,113,0,4,8
40,tt0101507,Boyz n the Hood,imdbDisplay,7.8,125252,0,1991,112,7,2,99
41,tt0103064,Terminator 2: The Judgment Day,imdbDisplay,8.5,990619,0,1991,137,0,4,99
42,tt0103776,Batman Returns,imdbDisplay,7,273400,0,1992,126,0,7,3
43,tt0103874,Dracula,imdbDisplay,7.4,191903,0,1992,128,13,99,99
